path,f_name,f_type,f_size_Kb,f_mtime,Owner,Modified_file_size,generated_at
C:\Users\Admin\OneDrive\Documents\Downloads\SEB_3.7.1.704_SetupBundle.exe,SEB_3.7.1.704_SetupBundle,.exe,289775,2024-08-01 17:29:10,DESKTOP-L6P3D7M\Admin,0,10:00:46
C:\Users\Admin\OneDrive\Desktop\C complete notes from kaifi sir.pdf,C complete notes from kaifi sir,.pdf,31519,2024-11-09 19:50:07,DESKTOP-L6P3D7M\Admin,0,10:00:46
C:\Users\Admin\OneDrive\Documents\OMNICHANNEL cia.pptx,OMNICHANNEL cia,.pptx,26518,2024-09-17 20:25:23,DESKTOP-L6P3D7M\Admin,0,10:00:46
C:\Users\Admin\OneDrive\Documents\Downloads\VC_redist.x64.exe,VC_redist.x64,.exe,24802,2024-08-01 11:59:18,DESKTOP-L6P3D7M\Admin,0,10:00:46
C:\Users\Admin\OneDrive\Documents\HTML\max.mp4,max,.mp4,24127,2019-04-29 13:48:34,DESKTOP-L6P3D7M\Admin,0,10:00:46
C:\Users\Admin\OneDrive\Desktop\MC\MC notes.pdf,MC notes,.pdf,22549,2025-02-03 18:02:25,DESKTOP-L6P3D7M\Admin,0,10:00:46
C:\Users\Admin\OneDrive\Desktop\refrences-stm32\rm-stm32f429xx.pdf,rm-stm32f429xx,.pdf,20546,2025-07-17 16:53:13,DESKTOP-L6P3D7M\Admin,0,10:00:46
C:\Users\Admin\OneDrive\Documents\Downloads\wsl_update_x64.msi,wsl_update_x64,.msi,16704,2024-08-01 17:33:47,DESKTOP-L6P3D7M\Admin,0,10:00:46
C:\Users\Admin\OneDrive\Documents\Downloads\wsl_update_x64 (1).msi,wsl_update_x64 (1),.msi,16704,2024-08-01 17:34:05,DESKTOP-L6P3D7M\Admin,0,10:00:46
C:\Users\Admin\OneDrive\Documents\non_cr.docx,non_cr,.docx,7495,2024-05-28 11:17:59,DESKTOP-L6P3D7M\Admin,0,10:00:46
